"날짜","Product ID","바코드","SKU ID","SKU 명","벤더아이템 ID","벤더아이템명","로켓프레시","상품카테고리","하위카테고리","세부카테고리","브랜드","매출액(GMV)","판매수량(Units Sold)","반품수량(Return Units)","매입원가(COGS)","AMV","쿠폰 할인가(쿠팡 추가 할인가 제외)","쿠팡 추가 할인가","즉시 할인가","프로모션발생매출액(GMV)","프로모션발생판매수량(Units Sold)","평균판매금액(ASP)","주문건수","주문 고객 수","객단가","구매전환율","PV","정기배송 매출액(SnS GMV)","정기배송 매입원가(SnS COGS)","정기배송 비중(SnS %)","정기배송 판매수량(SnS Units Sold)","정기배송 반품수량(Return Units)","상품평 수","평균 상품 평점"
"20260501","1516177491","8809487307235","11671480","오아 클린이 소프트 전용 리필 칫솔모, VO-ET034, 화이트 4ea","70593234242","오아 클린이소프트 시리즈 리필 칫솔모 화이트 4p,VO-ET034,1세트","NO","CE","Electric Toothbrush","전동칫솔 액세서리","오아","408000.00","48","-5","260352.00","402351.00","5649.00","0","0.00","34000","4","8500.00","52","50","9010.00","21.85","238","0.00","0.00","0","0","0","2","5.0"
"20260501","5882456550","8809487307235","11671480","오아 클린이 소프트 전용 리필 칫솔모, VO-ET034, 화이트 4ea","84635110192","오아 클린이 소프트B 자동 압력센서 음파 전동 칫솔 + 전용 리필 칫솔모 4p,OOT-003WH(화이트칫솔), VO-ET034(칫솔모),화이트,1세트","NO","CE","Electric Toothbrush","전동칫솔 액세서리","오아","-18424.00","0","-1","0.00","-18424.00","0.00","0","0.00","0","0","-11287.00","2","2","-5643.50","11.76","17","0.00","0.00","0","0","0","0","0.0"
"20260501","1516177491","8809487307235","11671480","오아 클린이 소프트 전용 리필 칫솔모, VO-ET034, 화이트 4ea","95107701668","오아 클린이소프트 시리즈 리필 칫솔모 화이트 4p,VO-ET034,3세트","NO","CE","Electric Toothbrush","전동칫솔 액세서리","오아","25500.00","3","0","16272.00","25500.00","0.00","0","0.00","0","0","8500.00","1","1","25500.00","25.00","4","0.00","0.00","0","0","0","0","0.0"
"20260501","1516177491","8809487307235","11671480","오아 클린이 소프트 전용 리필 칫솔모, VO-ET034, 화이트 4ea","95107701671","오아 클린이소프트 시리즈 리필 칫솔모 화이트 4p,VO-ET034,2세트","NO","CE","Electric Toothbrush","전동칫솔 액세서리","오아","136000.00","16","0","86784.00","136000.00","0.00","0","0.00","0","0","8500.00","8","8","17000.00","80.00","10","0.00","0.00","0","0","0","0","0.0"
"20260501","2309199830","8809487307242","11671481","오아 클린이 소프트 자동 압력센서 음파 전동칫솔, 화이트","70593234340","오아 클린이 소프트 음파 전동칫솔,VO-OC001,화이트,1세트","NO","CE","Electric Toothbrush","전동칫솔","오아","487200.00","14","-2","304570.00","435000.00","0.00","48720","-1740.00","487200","14","34800.00","15","15","37120.00","7.65","196","0.00","0.00","0","0","0","1","5.0"
"20260501","1519776763","8809487307334","11681261","보아르 이지 전기포트 M1 접이식 분유포트 휴대용 미니 여행용 온도조절 커피포트","70598963044","보아르 이지 전기포트 M1 접이식 분유포트 휴대용 미니 여행용 온도조절 커피포트,VO-KI014","NO","CE","Kitchen Appliance","전기주전자","보아르","3719000.00","117","-20","3552354.00","3630000.00","88000.00","-1200","-9050.00","459200","14","32800.00","137","135","33285.93","5.33","2571","0.00","0.00","0","0","0","0","0.0"
"20260501","1624376645","8809487307464","11874445","오아 메가에어 탁상형 써큘레이터 리모컨 선풍기 공기순환기","70761370950","오아 메가에어 탁상형 써큘레이터 리모컨 선풍기 공기순환기,OA-FN031","NO","CE","Seasonal Appliance","서큘레이터","오아","89000.00","1","0","58963.00","89000.00","0.00","0","0.00","0","0","89000.00","1","1","89000.00","0.85","117","0.00","0.00","0","0","0","0","0.0"
"20260501","1624376645","8809487307471","12029130","오아 메가에어 써큘레이터 스탠드 선풍기 리모컨 공기순환기","70882858395","오아 메가에어 써큘레이터 스탠드 선풍기 리모컨 공기순환기,OA-FN032","NO","CE","Seasonal Appliance","서큘레이터","오아","118000.00","1","0","71897.00","110670.00","0.00","7330","0.00","118000","1","118000.00","1","1","118000.00","1.18","85","0.00","0.00","0","0","0","0","0.0"
"20260501","1749080657","8809487307549","12126317","box_오아 클린스틱 핸디형 BLDC 스틱 무선청소기 OA-CL010, 화이트","70967076574","오아 클린스틱 핸디 무선 청소기,화이트,OA-CL010","NO","CE","Living Appliance","핸디/스틱청소기","오아","299200.00","4","-1","179812.00","283780.00","0.00","15420","0.00","224400","3","74800.00","5","5","74800.00","9.62","52","0.00","0.00","0","0","0","1","5.0"
"20260501","1649937793","8809487307372","12263163","오아 데일리 고데기 판 볼륨 앞머리 프리볼트 매직기","71092655399","오아 데일리 고데기 판 볼륨 프리볼트 매직기,혼합색상,OA-HA001","NO","CE","Beauty Appliance","고데기/매직기","오아","199100.00","4","-1","121368.00","181100.00","18000.00","0","0.00","49800","1","49800.00","5","5","49800.00","3.45","145","0.00","0.00","0","0","0","0","0.0"
